ይገረስሳሉ	They will be circumcised
የሚያግዘው	Help
ሳያቋርጡ	Without interruption
ሲነግስ	When he reigns
አግባብቷል	Applied
ወንዝና	River
መደብደቡን	Brawling
ኑዌሮች	Nerves
አደረሰባቸው	Hit them
በሊብያው	By the magazine
የዳት	Driving
ለስብአዊ	For the sly
ከብቶችም	And cattle
ፋሺስታዊ	Fascist
ማድረጉንም	He did it
በማለቱ	He said
ተዛምቷል	Matched
ራጃስታን	Rajasthan
ብለዋሉ	You say
ሂማሊያዎች	Hiriella
ኢጂብቲከስ	Ebibitus
የማጣራቱ	Check out
ፍሬዉ	fruit
የሃገሪቷን	country
ሳይሰጠው	Without him
ደባራ	Terror
የአደባብባይ	Call center
ዳርድንበሯንና	Dawkinsburg
በሻይረሱ	By the ferret
የሚያስተባብሩት	They will interrupt
ተጠቅተዋል	Used
አፍሪካዊት	African
ሸማቂው	savage
የማይስማማህ	You disagree
እዉቀት	Knowledge
በመሰባበራቸው	Broken
ረሃቡን	hunger
ካራቁ	Avoid
የሚያቅዱትም	And they plan it
የደስታቸው	Their happiness
ተስጥቶታል	It's been forgotten
ዘረኛዉ	The genealogy
የማረሚያቤት	Millionaire
ሊሰራጭ	spread
በሥራቸው	Do the work
እንዲመድብ	give
እንደሆኑባቸውና	And they are
ቀረች	Left
መታጠብያ	Wash
አዘጋጆችም	And the makers
በሰዎችና	By human beings
የመሰረታዊ	Basic
ጨርሷል	Finished
ልቋል	Exited
ያስቡታል	Think about it
የአልሸባብ	Al-Shabaab
ቦድን	Group
ከመደበኛው	From the regular
ኦፊሴሊያዊ	Officials
የዋተራ	Traditional
ከነበሩባቸው	What they did
ሃኪምነት	Doctors
ለሚውል	For
ክሊኒኮችም	Clinics
እንደርሳቸው	Like them
ክሡን	Take the throne
ማውጣትና	And
የሱናሜ	Tsunami
በከብት	In cattle
አስከሬኑ	corpse
በጸሃይ	Sunshine
ማሽኖች	Machines
የሃብትና	Wealth and
ኣስተዳዳሪ	An administrator
እስቴ	My sister
እየጎተጎቱ	Tugging at it
አድርጋዋለች	She has done it
በግዳን	Play
የሚመልሱት	You can reply
የወረርሽኙን	You have the flu
ዝምብላችሁ	You're okay
ለመንፈግ	To the soul
አሰራጭተዋል	Distributed
ለ42	To 42
ቾንግኪንግ	Chongging
እንዳይጎዳው	Do not harm
ወኪሉ	His agent
ዲሞ	Dmo
በዋታራ	Topaz
የማደናገሪያ	Cool
በጅጅጋና	In Jijiga
እየነዱ	While driving
የተመለከቱት	Viewed
ማውንቴን	Mennon
ባህሮች	Seas
ያጠመደውን	What he did
ሰልፋ	Secular
እየተለተለው	Editing it
መብራትና	Lights
መሸነፋቸውን	They defeated them
የሚገኝውን	Available
ከ2-3	2-3
ኦፊሰሩ	official
በተክለሃይማኖት	With the religion
ሠደድ	chase
ካርቱኖቹ	cartoons
ብትጠይቅም	You ask
እንዳይወቀስ	recite
ባለመኖሩም	Are they not?
ማቋቋምና	And to establish
ሚስጢሮችን	Confidentiality
በላጠፍት	With lukewarm
በጀትን	Budget
ከሚረዱት	Understanding
ዩቮን	Yvonne
የ25ሚሊዮን	Of 25 million
ሲምስ	Sims
በተከተው	In the following
አፈራርሷል	Has demolished
ከሽሬ	From scratch
የተፈራው	Fear
በተጨማሪነት	Additionally
ሲድሆፍ	Sidhod
ዴልሂ	Delhi
የድርሻቸው	Theirs
ኒውክለር	Nucleus
ዱጂያንጊያን	Dingjiang
ኮሚንኬሽን	COMMUNITY
ማሳካቱ	Achievement
የሚያዝበት	hold
ያስቀመጧችሁ	Save yourself
አስወገዱ	Remove
ንቀትን	Despise
በኪንግደሙ	By the King
የሲዊዲንና	And Sydney
ሦርያ	Syria
ትንበያና	Prediction
የተጣለባቸው	Dropped
ፀጋይ	Be stingy
በጅግጀጋ	In Jijiga
አይደስ	Not
ሊጋግሩት	Let's talk about it
እንመካከራለን	We advise
በእቅፋቸው	In their arms
ለማሳወቅና	notify
ፈስሷል	Has exploded
በራሱዋ	In her head
ሞተዉ	Let's die
ንፅሕና	Cleanliness
ያልተጠበቁ	Unexpected
በሱዳኖች	In Sundanese
ወሰዳቸው	He took them
ለምትገኙ	For you
ሞቱን	He died
በኀዘን	Be patient
የተቋረጡ	Deprecated
እንደሚጠጉ	As close to
የተጎዱና	Injured
አስረአንድ	Tenth
ኤጀንሲያቸው	Their agency
ልታገኝ	Get you
ተውጠው	Swallow
በኦነግ	In OLF
የተለጠፈ	Posted
እድሜአቸውስንት	Age
ከይርጋለም	From Yerroumpan
አልኮኾል	Alkohol
ለማምጠቅ	breed
እንዲለግስ	Donate
ባልቻሉበት	If you can not
የኢትዮጽያ	Ethiopia
ከ-መፅሔተ	From-Read
መሰላት	Like
በሳምባ	In lung
የሰርጉ	wedding
ተገልፆል	Excerpts
እንዲደፍኑ	Hugging
ዩቲሲ	UTC
በምድራቸው	In their land
የታዋቂ	Popular
ሊሸጋገሩ	move
ጃፓናውያን	Japanese
የሆናችሁት	What about you?
መሮታል	He chokes
መልቀቁ	Leave
ካምፖችወደ	Camps
ቆዳዋ	skin
ከሚመጡ	From
በዘመቻ	Campaign
ካቋቋመ	He established it
ጧሪ	Cold
እንዲዘሩ	sow
በእሣቱ	By the fire
አሬሮ	Ariro
እንደሚወለዱ	Born
አስከትለባት	Bring her in
ለቋቸዋል	He has left them
በአገራቱ	In the country
ይከራከራል	Is disputing
ተሳፋሪዎቹ	passengers
እየጐተቱ	Tugging
በመጋጨቷ	By the collision
የደራሲዎች	Authors
ወድሞቸ	I miss you
ስላወኩህ	I'm worried about you
350ሺህ	350 thousand
እንደሌሉ	There are no
የምሽቱ	Evening
ስነስርአቱን	The ordinance
የኖርዌይና	Norway
በጎርፍ-በተጠቁ	Flood-hit
እያከፋፈሉ	Distributing
ለድፍን	For solace
የተነከሱ	Distorted
ሙአመር	Mumbai
ጉቴረስ	Gurus
ቫይበሬ	Vibration
ተረጂው	Get help
እንዲደግፋቸው	Support them
ከ4000	From 4000
ፍንጮችና	Tips and tricks
ለቀቁ	Let go
ሕብረተሰቡ	community
ከተገደለና	If he was killed
18ሺህ	18 thousand
ተጠቅተው	Used by
ከሰብዓዊነት	From humanity
ጀምሮም	Beginning
ዐሳብን	Idea
ወድቃ	Fall down
ከጉዞአቸው	Their journey
የሰጠችው	She gave
በለጋሽ	Bye
ዲስኮርስ	Discovery
በምትባል	What is your name
ግርሃምም	Graham
በኤሪክ	By Eric
በሰወች	She woke up
በመቶኛ	Percent
ያስታወቀ	Informative
እምቢኝ	Do not Think
ከ-የፍቅር	From-love
የኦቦሌ	OBL
ለታይዋን	For Taiwan
እንደሚመጣም	And come
ጨምረውም	Add it
ተጎጂዎችን	TIP victims
በአንዋሩ	By the band
በክትባት	By vaccine
ሊያውርስ	Play
እንዳደረጋቸውና	And that
ለእስረኞች	For prisoners
ተደምጠዋል	Have heard
መከተሉን	Follow
ለእምባ	Tears
እንደሚሹ	As you like
ዌንችዋን	Wellington
የተስፋይቱ	Promises
የዳኢ	Dai
በተቆፈረ	Broken up
የተነደፈ	Designed
ቅኝትና	Insight
ከተመረጠባቸው	If they are selected
የሚነፍሰው	Blow up
እናስገባዋለን	We will import it
በህጻናቱ	For the kids
አሠቃቂ	Aggressive
ለመግለ	To separate
የሆሳዕና	Of Hoshea
ይደረጋሉ	Will be done
እሣትና	Fire
ማቅረቡን	Presenting
ለተረጂዎች	For helpers
እያካሄዱ	As you proceed
ወጣቱች	Young people
ኢኮኖሚያቸው	Their economy
ልነዉ	Let's go
ባስተማማኝ	Safe
ቆዱን	Wash the nails
እንደተጠቁ	You've been hurt
የደጋፊዎቹ	Supporters
የለጋሽ	Probably
የመግለጽን	Expression
የግዜ	Time
የ230	Of 230
ዘገባውም	report
ወደተጠቃችው	To the affected
ስድሳ	Sixty
ባሪያወች	slave
በ52ኪ.ሜ	At 52 km
የሱናሚ	Tsunami
አስገራሚና	Amazing
ሲጠቀሙ	When Using
ግመልም	Camel
ሊያፈርስ	tear down
ማስታወቂያዎችም	Ads
ተስፋቸውን	Hope
እንዳይቋረጥ	Do not interrupt
በፍርስራሽ	In the debris
ኤክስቼንጅ	Exxp
ጸልይ	Pray
የፈተናውን	Testing
ሚቲዮሮሎጂ	Meteorology
ከመፅደቁ	Approved
የ110	Of 110
የታተመው	Published
የሞርሲ	Miles
የተባረሩ	Departed
በተደባለቀ	Mixed
ጋቨርነር	Gurner
የተስፋፋውን	Expanded
ገጥሟቸው	Meet them
በመናገርዋ	By her words
እየጠራረገ	Turbulent
በምትነድፍበት	Biting
የሚያግዛቸው	Help
የመጣችውና	It has come
ሎራን	Lorraine
ቶንግ	Tong
ክራይስትቸርችክራይስትቸርች	Creative Commons License
በተናገረው	What he said
በት	Play in Play
ህጻናትም	Children
ከጣቢያው	From the site
በተመላላሽ	Overflow
የሚፎክረውን	Breaking
ሂዎቱን	Go go
የ2003	Of 2003
የተፈናቀሉትን	Are you disconnected?
ሦሥተኛውን	third
መገባቱን	Got it
ፍየልም	Goat
በቴህራን	At Tehran
ወትሮውንም	Even so
የመለሰው	Return
በሮይተርስ	By Reuters
ስርዎ	Your root
ማድረሱን	We can
ቢወጉት	If they attack
ያጠቃ	Attack
የኩሬ	Pure
ናይሮቢ-ኬንያ	Nairobi-Kenya
ጀማል	Jamal
ከ2009	From 2009
ትወጣዋለች	It will be emptied
ዘባው	Tidus
ወደነዚህ	To this
ከ260	From 260
ሜዲካል	Medical
ሕይህወት	Ambitions
እንደሚበትን	As it is foretold
ታዋቁ	Get involved
የሚጎዱ	Hurt
የሚመስሩት	What they work on
ቅዝምዝም	Chic
ውስጣ	Inside
የትዙ	Count
ሀዘኑ	Be sad
በማንቸስተር	At Manchester
በምርምሩ	In the Curriculum
ድምሩ	sum
ወርዳዎች	Downs
የስደትና	And persecution
ለጋራ	For common
የብሐራዊ	National
ሌጎስ	Lagos
ፈጅቷል	Done
ፀረ-ጋንግ	Anti-Gang
መዳከሙን	Depression
እንዲያከፋፍሉ	divide it
የብራዚልን	Brazil
ተራና	Just turn
ኮርኔል	Corner
ኒውስዊክ	Newsweek
ለእናቶች	For moms
በፈራረሱ	In ruins
ሃሉንይሥጥህ	Build your own
ኣትኩሮት	You do not
አፈቅርሃለሁ	love you
ከትንሳኤ	From Resurrection
በነበረች	As she did
ከተነጠፈው	From being copied
ቴቢት	Deuteronomy
ለመዳበርያ	For Companion
ኣትፍረዱ	Do not judge
ለገበሬው	To the farmer
አስበን	Think about it
ተሸጋግሯል	Switched off
የኢትዩጵያ	Ethiopia
በሀይለኢየሱስ	In the Twilight Zone
የአሟሟታቸው	Death
ተስተጓጉለዋል	Interrupted
ፍፃሜው	end
ደህንነትሽ	Your safety
እንደማይገባው	Not applicable
አልሃውሪ	Alhauri
ፈውስና	Healing
ሚንግ	Ming
መከካል	Cheat
ጠፊነት	Fate
ኩሽና	Kitchen
አማጺው	Believe me
ያውለዋል	He used it
ሓቅ	Yes
የሚጠቀምባቸው	What he will use
ከተሠሩበት	If done
ሲብላላ	Snail
ለታዳሚዎቹ	For audiences
እንደቀሯቸው	Just like
ሳላመሰግን	Thanks
ፋናብሮድካስቲግም	Fierobox
ሃሩር	Harold
ለምሆን	For what
በታሀሪር	In Ta'irir
ከ100,000	Up to 100,000
ስላቅ	Sarcasm
እንደሚያዛውር	As it moves
ቢደረመሱም	If they suffer
በመስጂዱ	At the mosque
አጥለቀለቃት	To deplete
የኤጀንሲው	Agency
ከሚያሰኙት	What they say
እየተያያዘ	Connected
ቀጠናዎች	Wards
አስኪጠናብን	We catered
ለዲፕሎማሲም	For diplomacy
በሌባ	Heart
የከተታት	Crown
ከተባለችው	Called her
ከከሚሴ	From Cimi
ወልደዋል	Born
አባታቸው	Their father
መስፈኑ	Judge it
ጠርዙን	Bend
ነድፎ	Powered by Blogger
የቱቦዎች	Tubes
አቅጣጫውን	Directions
በማቃጠል	By burning
ሲገፋነው	I'm suppressed
ነፍሰ-ጡር	Pregnant
እስኪያቆጠቁጥና	Until they finally spring up
ተከስክሶበት	Crash
ስናውጅ	When we announce
ዘመንት	Age
የመገምገሚያ	Evaluation
አይበቃ	Not enough
ዝርፍያና	And spoilers
ራደች	Random
እያከናወነው	Doing it
አቀናብራዋለች	Set it up
የመኝታ	Sleeping
ተረባርቡ	Swollen
ያነጋገሩዋቸው	Talk to them
በተያዙት	Caught up
ሀይሏን	Hail
ወደመቶ	It was
እንደሚቆጥር	Count
እየተሸጋገረ	In progress
ካርናሃን	Caramel
ሙስሊሞችም	And the Muslims
ተሽከርካሪዎቹን	vehicles
ማስረጃን	Proof
መጠየቃቸውን	How to ask
ልብላዉ	Love it
ስጋቷን	Her fear
የተናደበትና	Frustrated
ብያለው	i said
የአስቸኳ	Urgent
ለ19	To 19
ለኣምቡላንስ	For the Ambulance
ባድባራችን	Our badge
ብራዚላውያን	Brazilian
ለመምታት	Hitting
የኒዮርክ	New York
ያፈተለከው	You edited it
ተሰምሮበት	It's learned
አደጋዎቹ	dangers
እንደሚገደድ	As likely
አርንስ	Arnold
ለ10.2	For 10.2
ወረውታል	They beat him
የሚከጅላቹ	Expectations
የሚያደርጓቸው	What you do
የኢትዬጵያ	Ethiopian
ለለጋሽ	Play for
መረጃውም	And the information
ሲያስታውሱ	Remember
ይቀየርበታል	Changes it
እንደማስጠለሏ	Annoyed
ማደንዘዣ	Anesthesia
ፅዳትን	Cleaning
ለ4	To 4
አስመስሎታል	He pretended to be
ተደናቅፈው	Get frustrated
እየታፈኑ	Struggling
የተጠየቀበትን	Requested
ለወጡት	They turned
ካስተካከሉ	If you fix it
በሃራዳ	In Harada
ሲከፋሽ	Disastrous
የሞንሱን	Play the monster
ዳኛና	Judge
ይበረታል	It will be strong
መበታተን	Disband
ለሄይቲ	For Haiti
ጨብጠናል	We have compressed
አርሳኖ	Arabic
በርናባ	Barnabas
ፑንትላንድ	Puntland
ስራችንን	Our work
ተደላድለው	It's tangled
አውራምባ	Awra Amba
ታድመዋል	Are saved
ሲጠባበቁ	Awaiting
የሴቶችና	Women and men
ለለመዱ	Commonly
ለዘጋቢአችን	For Our Creators
አጋነው	Overhang
ኃብት	Property
ከተመታ	If beaten
እንደማይወክልና	I do not
እንዳያከፈፍል	Not divide
ከሚለቀው	Expected
አውራንባ	Fernando
ከተገመተው	Impressive
ሆኖሳለ	Of course
እየራባቸው	It was raining
መጋለጣቸውን	Their exposure
እንዲቋቋሙ	To be healed
ለአጥፍቶ	For a long time
እንደተቋቋሙና	And yet they are
የአይኤምኤፍ	IMF
ዐል-ሲሲን	Axiu
በአፍሪካም	In Africa
የቅድመ	Pre-dawn
ከሚሰጠን	To us
በየስድስት	Every six
ከተከሰተበት	If it happened
ዳንግራፐር	Dagger
ኣልቻልንም	We can not
በቀናቶች	Days
ኣቅጣጫውን	direction
የሚያስችላት	For
ሊንኮታኮቱ	Lincoln
በሰራነዉ	On the move
የመጋዘን	Warehouse
የተነገረለት	The one spoken of
የተደቀኑ	Accredited
ሰባሪ	Encoder
ማድረጉንና	What he did
መጠበቂያዎችን	Protective
ዘገበው	Report it
አደረገች	She did it
የዓሊይ	Play a ball Play
ድረጃ	Step
በተመዘገበው	Registered
ይታመን	Trust
2ዐ11	11:11
እንደሚገኙባቸው	As they are
ከሱቆቹ	From the store
መጠራሪያው	summertime
እየሰጠች	Is feeding
ማርግሬት	Margaret
በፋፋን	In Philadelphia
ስትፈልገው	When you need it
ለመስጊድ	To mosque
ቢያዝም	Despite being beaten
ቼን	CHINES
እየዳረገ	As
የመዋጋት	Fighting
በመከልከላቸው	By no means
ያለከልካይ	Non-refoulement
አውሮፓዊያኑ	Europeans
ነግሷል	He reigned
በማህፀን	In the womb
አዳክሟል	He has weakened
ሳምንቱ	Week
እያደልን	Killing us
አልተረጋጋንም	We are unstable
የምርምሩንና	Play the game
አጋሮቻችን	Our partners
አይቮሪያውያን	Ivory Coast
አስክሬናቸው	Their hypocrites
እያቆጥቆጠ	Excited
ቢነቀፍም	If he is criticized
በነበር	If so
አለመከሰቱ	No occurrence
መጠቆሙ	Point out
ቀፀላ	Normal
በኒውዝላንድ	In New Zealand
ሙባረክን	Mubarak
እንደተከሰተ	As happened
ኢንፌክሽኑ	infection
ኮሚሺነር	Commissioner
በጠጣር	Solid
የአሳንጌ	Ashkenaz
ደጄኔሮ	De Genoa
አሳዝኖናል	We're sorry
ፓኪስታንን	Pakistan
ሠምተናል	We have convinced
ከዓርብ	Friday
የተቆላ	Squishy
መደብሮችና	Stores
በቆርቆሮ	With a corrugated iron
ከከብት	From cattle
ጃኔሮ	Jane
የድርቅና	Dust
ለአሶሼትድ	For Asseyad
ሆስፒታሉ	hospital
ስለተካሄደው	Done
እንደማይጠብቁና	They do not expect it
የበለፀገች	Rich
ጥልቅት	Deep
ስትሬይትስ	Straitstones
የፋጢማ	The Prophet
ቴይፔይ	Taipei
አስግድደን	We adjourned
ሰብሉ	Cultivate
በከብቶችና	With herds
ኩዴታ	Cuddle
ተወቃሽነትም	Cramped
የረሃብና	Hungry
ሄይቲን	Haiti
ህክምናቸውን	Their treatment
ተዋሚዎችን	Players
ዴል-ኮንቴ	DLC
በቺሊ	In Chile
ሰራተኛዋ	Worker
እያጋባ	Is growing
ከጁምአ	From Jamaa
ዋግን	Be wary
ተቸግሮ	Difficult
ተያይዟቸውም	Attach them
በለጋሾችና	With donors
በኢስያና	In Asia
የማነ-ገብረአብ	Antigua and Barbuda
ሲያሠምርበት	Praise him
ከአጽሟ	From her post
በተጠቃችው	By the attack
እንደመቀለድም	Just like
በረሃብተኛ	Hungry
ቦደን	Boxing
ደርሰባቸው	Come on
ዓብደላ	Adebayor
ከሃን	From Hannah
እንደሚለዋወጥ	Varies
በተጠቁት	Busted
በ1898	In 1898
ኢትዩጵያውያን	Ethiopians
ምድሪቱን	land
የፊንላንድ	Finnish
የኢሣ	Isa
አለመታወቁን	Unknown
ሰላቱን	Keeping the peace
ሌስተር	Leo
የህጻናትና	Children and grandchildren
ያቀርብ	Present
በነርቭና	Neuroscience
በምንችለው	We can
ሴፍ	Safety
ደጋፊዎቻቸውም	Their supporters
በዘራው	By the way
ኤደስ	AED
አናደርግም	We will not
ዘጋቢያች	Writer
የሚወለዱ	Born
ያድምጡት	Listen
ግብዓትና	Input and output
ገቦቹ	Whatever
እንዳይሰጉ	Do not worry
ቢመለስም	And if he return
ሲረክስ	Cyrillic
አወላልቆ	Did not miss
ውጤቱም	result
የሚያሣዝን	Disturbing
የገለልተኞች	Excluded
ምህፃር	Achievement
በወደብ	On the horizon
ያዩትን	What they saw
ተጀቡኖ	Follow up
ለህመማቸውም	And for their sickness
በሰተቀር	If it is
የሁፍ	Horn
የመቋቋም	Coping
ቀይሮአል	Changed
ካሳዩ	If you show it
የሌሊት	Night
የሰሌዳ	Board
የማንሱን	Whom
አበርክተዋል	You contributed
ከሰፍራው	Out of space
በራጃስታን	In Rajasthan
መገደዳቸውንና	And their labor
በማወደስ	By praise
በመግለጫዉ	By the profile
ከሪያድ	From Riyadh
እንዲጥልም	drop
ሓላፊዎች	Board of Trustees
ተገደለች	She is murdered
ሊያባብሰው	Stir up
አጄ	Ah
ይከተላሉ	follow
የሱናሜው	Tsunami
መራቅ	No-one
በተጣለበት	Withdrawal
ቸነፈሩን	plague
የወንዙን	River
አጋጥመው	Meet
የሃገያ	Economy
ሊተካ	be replaced
አንኮታኩቷል	Unpacked
ለህሙማኑ	To the patient
ቁጥራቸው	nummer
የእሣት	Fire
የአዋሽ	Awakening
ስለሚሆን	Since
ማመንጫን	Raising
የመስጂዱ	mosque
የታጣቂዎቹ	gunmen
ፋየር	Firewall
ከሶሪያ	From Syria
መርዳታቸው	Help them
የዳንሻን	Dane
ለመድፈር	scare
ቀያቸው	For them
አያደርስም	It does not happen
ወላዶች	Parenting
የኮዚ	Coz
ረዳን	Help us
የቢልና	And Bill
ወገናቸውን	They told their people
ተባራሪው	Divide it
በሰነድ	By document
መቀመጫው	seat
ለሄይ	Let's go
የኒውክሊየር	Nucleus
የሰደተኞች	refugees
ብርጌቲ	Broccoli
አታልቅሽ	Do not wake up
እንዳያጠፋ	Destroy
ማንደፍሮ	Dread
ውጊያና	War
ስለሚገሰግሱ	Arriving
አበሳጫቸው	Crisis
ሲወያይ	discuss
ኣሰርተው	Delete it
ለጣብያችን	For our site
ሕመሞች	Illnesses
በተጣለ	Disintegrated
መኖሩንም	And there is
ለውጡና	You have changed
ሀርሲ	Harris
አሰገራሚ	Impressive
ብርቱካናማውን	orange
ጋንግስተሮች	Guys
ተከትለውም	Followed by it
የመንፈቅ	Depression
ትእቢት	Habitation
ጎብኝተዋቸዋል	You visited them
ባነጋገሩበት	Wherever you speak
ምንድ	What
ግበረ	Glorious
አስገድዶታል	He has forced her
ከምትገኘዉ	From what you find
በክብ	By circle
የንጽህናና	Hygiene
እንደሚያድግ	Grows
መሔት	Hawaii
በድሬደዋና	In Dire Dhana
ከ18ዐሺህ	18 degrees
ንጋቱ	Get out
ባሪኦስ	Barry
መጠኑን	amount
የተሸፈነውም	And it covers it
አረጋገጠናል	We have confirmed
ባለሙያዎቹን	Experts
አቆራርጦ	Cut off
ኦውሱ	Oooo
ተመጋቢ	Eaten
ታው	Taw
ባለፈውም	Overflowed
የሱማሌ	Somali
ልውስ	Giving
ከደረሰ	If so
አሳሣቢ	Disturbing
ቦርሎግ	BLOG
መዘበሩ	annihilate
ቀስቅሶ	Wake up
መድረሻው	destination
ሊደረግላቸው	It should be done to them
የጫነ	Installed
ተከትሎም	Afterwards
ከተታት	Missed
የመንደሩን	village
የፔትሮሊየም	Petrolium
ያለም	No
የምንሞትለት	We die
ደሴቶችን	Islands
ሸንኮራ	Sugarcane
ኮታ	Quota
ይፍቀዱ	Allow
ሊፈጅ	grow
ከምትመስለው	It looks like
ኡዳይፐር	Udip
መፍቀሬዎችን	Play creators
ሸሪፍንና	Sheriff
ተስፈኛ	Impossible
በኩሬና	By Kerena
ባለመቻላቸውና	And for them not
ነሃሴ	August
ጃፓናዊያንን	Japanese
የተደረሰባቸውን	Received
አይሸውድም	It does not crawl
ድርድርም	Negotiate
ቢያደርግም	Despite
አስከባሪዎቿ	Her supervisors
ደረም	Got it
ወደከፋ	Worse
ጦርነቶችና	Wars
የአመፅ	Rebelliousness
የዱርሲቱ	uruguay
የ1ማይል	1 mile
የሂደት	Process
የካናደ	CANADA
አመሻሹ	Easter
የተዘጋው	Closed
የሚጓጓዝና	Transportation
ጥፋተኛው	offender
ወደተጎዳችውና	To hurt her
መብለጡን	We had more
ሰራዊታችን	Our army
የተበጠሰ	Broken
ተዝካር	Tattoo
ፀጥታዋን	Keep her silence
ሲዘምትባቸው	Seen by them
በተገለጸ	Explained
የተመለከትነው	We looked at it
ጂዲፒ	JPP
እንደይገለጽ	As reported
የማረፊያ	Lodging
ስሚርዶን	TMM
የሱማሊያ	Somalia
ሪበን	Ribbon
የማባያ	Playful
እንዲያርፍ	rest
መናሩን	Hey
ስለሚያጋጥም	So
አለብህ	You have to
እንደሚደርስና	As it is
እንደሚያስረዳን	Help us
ተውካይ	Reporter
ፍቅረኛዋን	Love her
ያስቆጣ	Angry
ሊዛመት	spread
ሊላኩ	be sent
በጉዳቱ	In the affair
የሚሻላቸው	Better
የዲፕሎማቲክ	Diplomatic
በኢንዶኔዥያዋ	In Indonesia
ለማቋረጥ	disconnect
ጂኦሎጅያዊ	Geolocal
ዳይሬክቶር	Directories
መልክቶች	Messages
ወደኢትዮጵያና	To Ethiopia
ቢሞክርም	He tries
በሚፈጠረው	Was created
ከተነደፈበት	Designed
አጠቃላዩ	General
ካርቱኒስቶችን	Cartoumis
ሊያገረሽ	Revolving
እሚጋቡበት	Married
በምትከተለው	Following
ባገባደድነው	I drowned
መመታታቸውን	Their beatings
የ2004	2004
ባፈቀራት	Missing
በማከልም	By adding
የስደተኞችና	And refugees
ሲመላለሱ	Walking
ጅምላ	Massacre
ተቃዋሚዎቿ	Her opponents
የሚጥልበትና	And will
ትዘጋለች	Closed
የተመድ-ብራዚል	UN-Brazil
ማነቆዎቿ	Punching
የተጨማሪ	Added
እንደጠቆመው	As pointed out
የኣባቴን	My father
ጋቢ	Gabi
እንዳያካሄድ	Do not operate
ላማዳረስ	Multimedia
የክልልና	Region
በአላስካ	In Alaska
በግቢ	In the courtyard
አያግዝም	Does not support
እንደወጡ	As you came out
የማይፈልግ	Unwanted
ደህንነቴ	My safety
ስጋዋ	meat
ስጋትነት	Threat
አርጋችሁ	Keep it
ከ4	4
አስወጋጅ	Fake
የሚፈናቀሉ	Displace
መገፈፍ	slip
ለጥገና	Maintenance
በባለስልጣኖቹ	By the authorities
ጤናይስጥልኝ	Hello me
መከበባቸውን	Surrounded them
የሃይቆች	Lakes
እንደሞተች	She died
ጥረትዋን	Try her
መዘላለፉን	conclusion
ማንስ	Who
አጠናል	We build
ተጠቃች	Attacked
ተከስክሶ	Rash
ከአፋርና	From Afar
እንደማትፈልግና	And you do not want it
ይለቃሉ	They will be released
ከወደወገቧ	From her hammock
አስተናጋጁ	Host
እያሰራጩ	You are broadcasting
በመቱ	Hit
አይበላለጥም	Not overlapping
በኡጋንዳ	In Uganda
አምሪት	Ref
እጽ-በለስ	Medicinal plants
ዱጋን	Duggan
እየተላበሰ	Dangling
ዝግመት	Delay
እንደማይቀንስ	No less
በማስተዳደር	Managing
የሚገኝበትን	Where it exists
ያቀደች	Plan
ክሡት	Accuse
ሲሊቨርት	Silhouette
አይጦችና	Rats
በተቀነባበረ	Built-in
አጥምዶ	Hijack
አቀፍን	Universal
ኣይደርስም	It can not
ይሏታል	She will call her
እያሟጠጡ	Scoop out
ሲረከብ	When delivered
የመሰከሩትን	That they testified
አስራለች	She has done
እንዳይከሰስ	Should not be accused
ክፍለ-ሃግሮች	Phrases
ቢሾልኩም	And if I get shaken
ሊያፈናቅል	disintegrate
ቅደመ	Before
የጣልቃ	Tough
የቡድሂስት	Buddhist
እየተሰራጨ	Broadcasting
በአመፁ	By rebellion
የህጻናጽ	Kids
በመግባቱ	Entering
አላቹ	Alligator
የተበከሉ	Contaminated
ስለሚያግድ	Because it blocks
በአዋሳና	In Awassa
ዘልቀው	Finish
ይስፋፋሉ	They spread
በአዋሳ	Play in Play
ሲንኳሰስ	Subcool
ካንሠር	Cantonese
የተጎሳቆሉ	Are depressed
የሚሞቱባቸው	Deaths
አቀነባባሪነት	Configuration
ከመከሰታቸው	From happening
ራዳሮች	Radians
ግምቱን	Estimates
በመጥለፍ	Bypass
ቢጠሩት	Call them
ሊያከትም	And to destroy it
እንደሚያጋጥሙ	As they occur
ኣደገኛነቱና	Dangerous
በመጀመሪ	First
ልትገድለው	kill him
በሬክታር	Recreate
ማፈላለጉ	Look for
ነፃነቷን	Her freedom
ለካምፓላው	For Campaign
በነጆ	With the help of
የማያንቀሳቅስ	Unplugging
ደራስያንና	And Oriental
እያደረጋቸው	Doing them
አያአይዘው	Do not hold it
ተጣብቋል	Clipped
ከጁምኣ	From Jumah
ጆኒና	Johnny
አሥራለች	Lodged
ከመርከቦቹ	From the fleet
ስታይበርግ	Stéberg
ያልተጠቁ	Not hit
እንዳይገባም	Do not enter
በአዲስ	New
በመቂ	Awesome
በተመሠረተባት	Founded
አልቀው	Come out
ንዝር	Swipe
አሾልከው	I'm sorry
ተራዲኦ	PlayStation 3
በሞገቱ	By his encouragement
ያልተገኙት	Not found
ሲያርከፈክፉ	When you break up
አስከፊነትና	Too bad
ቫሹንድራ	Västra
የሕመሙን	pain
ቢይኮት	Binoculars
የማህበረሰቦቹ	communities
እየጎረፈ	Sink
ካጠናን	If we study
ለማሥቀልበሥ	incite
ትሪቢዩን	trilogy
በቅፅበት	In real time
ጀምረን	Let's start
ያሣዘናቸው	We have caused them pain
